order_id,item_id,product_id,quantity,list_price,discount,total_revenue
1,1,20,1,599.99,0.2,479.992
1,2,8,2,1799.99,0.07,3347.9814
1,3,10,2,1549,0.05,2943.1
1,4,16,2,599.99,0.05,1139.981
1,5,4,1,2899.99,0.2,2319.992
2,1,20,1,599.99,0.07,557.9907
2,2,16,2,599.99,0.05,1139.981
3,1,3,1,999.99,0.05,949.9905
3,2,20,1,599.99,0.05,569.9905
4,1,2,2,749.99,0.1,1349.982
5,1,10,2,1549,0.05,2943.1
5,2,17,1,429,0.07,398.97
5,3,26,1,599.99,0.07,557.9907
6,1,18,1,449,0.07,417.57
6,2,12,2,549.99,0.05,1044.981
6,3,20,1,599.99,0.1,539.991
6,4,3,2,999.99,0.07,1859.9814
6,5,9,2,2999.99,0.07,5579.9814
7,1,15,1,529.99,0.07,492.8907
7,2,3,1,999.99,0.1,899.991
7,3,17,2,429,0.1,772.2
8,1,22,1,269.99,0.05,256.4905
8,2,20,2,599.99,0.07,1115.9814
9,1,7,2,3999.99,0.1,7199.982
10,1,14,1,269.99,0.1,242.991
11,1,8,1,1799.99,0.05,1709.9905
11,2,22,2,269.99,0.1,485.982
11,3,16,2,599.99,0.2,959.984
12,1,4,2,2899.99,0.1,5219.982
12,2,11,1,1680.99,0.05,1596.9405
13,1,13,1,269.99,0.1,242.991
13,2,17,2,429,0.05,815.1
13,3,20,2,599.99,0.1,1079.982
13,4,16,2,599.99,0.05,1139.981
14,1,6,1,469.99,0.07,437.0907
15,1,12,2,549.99,0.07,1022.9814
15,2,8,1,1799.99,0.07,1673.9907
15,3,18,2,449,0.05,853.1
15,4,23,2,299.99,0.2,479.984
16,1,8,1,1799.99,0.2,1439.992
16,2,21,1,269.99,0.05,256.4905
16,3,13,2,269.99,0.07,502.1814
16,4,14,1,269.99,0.07,251.0907
17,1,8,1,1799.99,0.07,1673.9907
17,2,23,1,299.99,0.1,269.991
17,3,5,1,1320.99,0.1,1188.891
17,4,20,2,599.99,0.2,959.984
18,1,2,2,749.99,0.2,1199.984
18,2,22,1,269.99,0.05,256.4905
18,3,7,1,3999.99,0.1,3599.991
18,4,25,2,499.99,0.05,949.981
18,5,9,2,2999.99,0.1,5399.982
19,1,10,1,1549,0.07,1440.57
19,2,9,2,2999.99,0.2,4799.984
20,1,9,1,2999.99,0.07,2789.9907
20,2,10,2,1549,0.07,2881.14
21,1,14,1,269.99,0.05,256.4905
21,2,17,1,429,0.1,386.1
21,3,10,1,1549,0.07,1440.57
22,1,15,2,529.99,0.2,847.984
22,2,22,1,269.99,0.05,256.4905
23,1,4,2,2899.99,0.05,5509.981
23,2,23,2,299.99,0.1,539.982
23,3,13,1,269.99,0.2,215.992
24,1,3,2,999.99,0.1,1799.982
24,2,18,2,449,0.07,835.14
25,1,23,2,299.99,0.2,479.984
25,2,10,2,1549,0.2,2478.4
25,3,22,1,269.99,0.2,215.992
25,4,14,1,269.99,0.2,215.992
25,5,21,1,269.99,0.1,242.991
26,1,7,1,3999.99,0.05,3799.9905
26,2,2,1,749.99,0.2,599.992
26,3,12,1,549.99,0.2,439.992
26,4,21,2,269.99,0.07,502.1814
27,1,5,1,1320.99,0.2,1056.792
27,2,19,1,449,0.2,359.2
27,3,26,2,599.99,0.07,1115.9814
27,4,8,1,1799.99,0.07,1673.9907
28,1,5,1,1320.99,0.05,1254.9405
28,2,7,2,3999.99,0.2,6399.984
28,3,14,2,269.99,0.1,485.982
28,4,6,1,469.99,0.05,446.4905
29,1,24,2,549.99,0.05,1044.981
29,2,6,1,469.99,0.2,375.992
29,3,21,2,269.99,0.1,485.982
29,4,8,1,1799.99,0.2,1439.992
29,5,14,2,269.99,0.05,512.981
30,1,26,1,599.99,0.05,569.9905
30,2,17,1,429,0.07,398.97
30,3,19,1,449,0.1,404.1
30,4,4,1,2899.99,0.1,2609.991
30,5,7,2,3999.99,0.1,7199.982
31,1,11,2,1680.99,0.05,3193.881
31,2,9,2,2999.99,0.2,4799.984
32,1,8,2,1799.99,0.07,3347.9814
32,2,12,2,549.99,0.07,1022.9814
32,3,25,2,499.99,0.1,899.982
33,1,23,2,299.99,0.07,557.9814
33,2,7,1,3999.99,0.1,3599.991
34,1,8,2,1799.99,0.07,3347.9814
34,2,10,2,1549,0.1,2788.2
34,3,17,2,429,0.2,686.4
35,1,18,1,449,0.05,426.55
35,2,20,2,599.99,0.05,1139.981
35,3,5,1,1320.99,0.2,1056.792
35,4,21,2,269.99,0.07,502.1814
35,5,22,1,269.99,0.07,251.0907
36,1,9,1,2999.99,0.07,2789.9907
36,2,5,1,1320.99,0.05,1254.9405
36,3,3,2,999.99,0.2,1599.984
37,1,16,2,599.99,0.05,1139.981
38,1,7,2,3999.99,0.05,7599.981
38,2,23,1,299.99,0.07,278.9907
38,3,25,1,499.99,0.2,399.992
38,4,10,2,1549,0.1,2788.2
38,5,24,1,549.99,0.07,511.4907
39,1,22,2,269.99,0.2,431.984
39,2,16,2,599.99,0.2,959.984
39,3,3,2,999.99,0.05,1899.981
39,4,15,1,529.99,0.1,476.991
40,1,17,1,429,0.2,343.2
40,2,8,2,1799.99,0.2,2879.984
41,1,5,1,1320.99,0.1,1188.891
41,2,19,2,449,0.2,718.4
41,3,26,2,599.99,0.2,959.984
42,1,19,1,449,0.05,426.55
43,1,13,2,269.99,0.1,485.982
43,2,12,2,549.99,0.05,1044.981
44,1,7,1,3999.99,0.1,3599.991
44,2,16,1,599.99,0.05,569.9905
45,1,4,2,2899.99,0.2,4639.984
45,2,22,1,269.99,0.07,251.0907
45,3,21,2,269.99,0.05,512.981
46,1,17,1,429,0.1,386.1
47,1,6,1,469.99,0.05,446.4905
47,2,15,1,529.99,0.1,476.991
47,3,25,2,499.99,0.07,929.9814
47,4,13,1,269.99,0.2,215.992
48,1,11,1,1680.99,0.1,1512.891
48,2,4,1,2899.99,0.2,2319.992
48,3,5,2,1320.99,0.1,2377.782
48,4,14,2,269.99,0.07,502.1814
49,1,13,2,269.99,0.07,502.1814
50,1,3,1,999.99,0.05,949.9905
50,2,26,2,599.99,0.07,1115.9814
50,3,13,2,269.99,0.2,431.984
51,1,13,1,269.99,0.05,256.4905
51,2,20,1,599.99,0.05,569.9905
51,3,26,2,599.99,0.2,959.984
52,1,25,1,499.99,0.07,464.9907
53,1,8,2,1799.99,0.2,2879.984
53,2,23,2,299.99,0.05,569.981
53,3,14,2,269.99,0.2,431.984
53,4,25,2,499.99,0.1,899.982
54,1,26,2,599.99,0.2,959.984
54,2,3,1,999.99,0.2,799.992
55,1,21,1,269.99,0.05,256.4905
55,2,25,2,499.99,0.2,799.984
55,3,15,2,529.99,0.2,847.984
56,1,20,2,599.99,0.07,1115.9814
57,1,23,2,299.99,0.1,539.982
57,2,19,2,449,0.2,718.4
57,3,13,1,269.99,0.07,251.0907
58,1,14,2,269.99,0.05,512.981
58,2,18,1,449,0.07,417.57
58,3,23,1,299.99,0.1,269.991
59,1,21,1,269.99,0.05,256.4905
59,2,2,1,749.99,0.1,674.991
59,3,17,2,429,0.1,772.2
60,1,14,2,269.99,0.05,512.981
60,2,4,1,2899.99,0.1,2609.991
60,3,15,1,529.99,0.07,492.8907
60,4,22,1,269.99,0.2,215.992
61,1,25,1,499.99,0.1,449.991
61,2,15,2,529.99,0.05,1006.981
61,3,5,2,1320.99,0.2,2113.584
62,1,14,1,269.99,0.07,251.0907
62,2,8,2,1799.99,0.1,3239.982
62,3,22,2,269.99,0.1,485.982
63,1,25,2,499.99,0.1,899.982
63,2,19,2,449,0.05,853.1
63,3,3,1,999.99,0.1,899.991
64,1,25,2,499.99,0.1,899.982
64,2,22,2,269.99,0.2,431.984
64,3,23,2,299.99,0.2,479.984
64,4,24,2,549.99,0.1,989.982
65,1,12,1,549.99,0.1,494.991
66,1,2,1,749.99,0.2,599.992
66,2,23,1,299.99,0.07,278.9907
66,3,12,1,549.99,0.07,511.4907
67,1,23,2,299.99,0.2,479.984
67,2,12,2,549.99,0.1,989.982
67,3,21,1,269.99,0.2,215.992
67,4,5,2,1320.99,0.1,2377.782
67,5,19,1,449,0.2,359.2
68,1,13,2,269.99,0.07,502.1814
68,2,17,1,429,0.1,386.1
69,1,22,2,269.99,0.1,485.982
69,2,5,1,1320.99,0.2,1056.792
69,3,10,1,1549,0.05,1471.55
70,1,3,2,999.99,0.05,1899.981
70,2,18,1,449,0.2,359.2
70,3,20,1,599.99,0.05,569.9905
71,1,26,2,599.99,0.05,1139.981
71,2,24,1,549.99,0.2,439.992
71,3,18,1,449,0.1,404.1
72,1,17,2,429,0.07,797.94
72,2,12,1,549.99,0.05,522.4905
72,3,13,2,269.99,0.1,485.982
73,1,22,1,269.99,0.07,251.0907
73,2,26,2,599.99,0.05,1139.981
73,3,3,2,999.99,0.07,1859.9814
73,4,25,1,499.99,0.07,464.9907
73,5,23,2,299.99,0.2,479.984
74,1,16,2,599.99,0.05,1139.981
74,2,6,1,469.99,0.07,437.0907
75,1,3,1,999.99,0.1,899.991
75,2,7,2,3999.99,0.07,7439.9814
75,3,15,1,529.99,0.2,423.992
76,1,12,1,549.99,0.05,522.4905
